Issuer,Class,Cusip,Value,SharesPrnAmount,Type,PutCall,InvestmentDiscretion,SoleVoting,SharedVoting,NonVoting,Ticker,Date
Security Cap Group B,COM,81413P204,140,7000,SH,,Sole,7000,0,0,,2000-12-31
Sigma-Aldrich,COM,826552101,668,17000,SH,,Other,0,0,17000,03,2000-12-31
Speizman INDS Inc COM 847805108 15,,,,24000,SH,,Sole,24000,0,0,,2000-12-31
Spieker PPTYS Inc,COM,848497103,3243,64700,SH,,Other,0,0,64700,04,2000-12-31
Storage USA,COM,861907103,1172,36900,SH,,Other,0,0,36900,04,2000-12-31
Sun Communities,COM,866674104,2948,88000,SH,,Other,0,0,88000,04,2000-12-31
Sungard Data Sys,COM,867363103,792,16800,SH,,Other,0,0,16800,03,2000-12-31
Sybron Dental Sps,COM,871142105,231,13665,SH,,Other,0,0,13665,03,2000-12-31
Terayon Comms COM 880775101 84,,,,20758,SH,,Other,20758,0,0,02,2000-12-31
Thermo Fibergen Inc,COM,88355U109,215,19300,SH,,Sole,19300,0,0,,2000-12-31
Thermo Fibergen Inc RTS 88355U117 10,,,,19300,SH,,Sole,19300,0,0,,2000-12-31
Versus Tech Inc COM 925313108 7,,,,60000,SH,,Sole,60000,0,0,,2000-12-31
Vignette Corp,COM,926734104,782,43428,SH,,Other,43428,0,0,02,2000-12-31
Vitria Tech Inc,COM,92849Q104,994,128279,SH,,Other,128279,0,0,02,2000-12-31
Wausau-Mosinee,COM,943315101,182,18000,SH,,Other,0,0,18000,03,2000-12-31
Websense Inc,COM,947684106,395,27212,SH,,Other,27212,0,0,02,2000-12-31
Agile Software Corp,COM,00846X105,1211,13463,SH,,Other,13463,0,0,02,2000-09-30
AMB PPTY Corp,COM,00163T109,2198,89500,SH,,Other,0,0,89500,04,2000-09-30
Applied Micro Cir,COM,03822W109,2588,12500,SH,,Other,12500,0,0,02,2000-09-30
Aptar Group Inc,COM,038336103,433,18100,SH,,Other,0,0,18100,03,2000-09-30
Archstone CMNTYS BEN 039581103 3833 SH Sole,,,,,,,Other,15061,0,141000,04,2000-09-30
Argosy Gaming Co,COM,040228108,277,15300,SH,,Other,0,0,15300,01,2000-09-30
"Ariba, Inc",COM,04033V104,3162,22072,SH,,Other,22072,0,0,02,2000-09-30
Arrow Electronic,COM,042735100,613,18000,SH,,Other,0,0,18000,03,2000-09-30
Aspect Med Sys COM 045235108 238 19252 SH,OTHER,,,,,,,19252,0,0,02,2000-09-30
Avalonbay CMTYS,COM,053484101,3047,63900,SH,,Other,0,0,63900,04,2000-09-30
Avanex Corp,COM,05348W109,4579,42519,SH,,Other,42519,0,0,02,2000-09-30
BEA Sys Inc,COM,073325102,1129,14500,SH,,Other,14500,0,0,02,2000-09-30
Bell & Howell,COM,077852101,350,16000,SH,,Other,0,0,16000,03,2000-09-30
Block H & R,COM,093671105,574,15500,SH,,Other,0,0,15500,03,2000-09-30
Brady Corp CL A,COM,104674106,445,14700,SH,,Other,0,0,14700,03,2000-09-30
Broadcom Cl A,COM,111320107,1257,5158,SH,,Other,5158,0,0,02,2000-09-30
Brocade Comm Sys,COM,111621108,3540,15000,SH,,Other,15000,0,0,02,2000-09-30
Boston PPTYS Inc,COM,101121101,1816,42300,SH,,Other,0,0,42300,04,2000-09-30
CacheFlow Inc,COM,126946102,1645,11500,SH,,Other,11500,0,0,02,2000-09-30
Cambrex Corp,COM,132011107,814,22000,SH,,Other,0,0,22000,02,2000-09-30
Caremark RX Inc COM 141705103 295 26215 SH,OTHER,,,,,,,0,0,26215,03,2000-09-30
Carramerica Rlty,COM,144418100,227,7500,SH,,Sole,7500,0,0,,2000-09-30
Casella Waste Sys,COM,147448104,608,60000,SH,,Other,0,0,60000,03,2000-09-30
Caseys Gen Stores,COM,147528103,1040,80000,SH,,Other,0,0,80000,03,2000-09-30
Catellus Corp COM 14911106 1015 58000 SH,OTHER,,,,,,,0,0,5800,04,2000-09-30
Checkfree Hldgs,COM,162813109,914,21809,SH,,Other,21809,0,0,02,2000-09-30
Checkpoint Systems COM 162825103 76,,,,10000,SH,,Sole,10000,0,0,,2000-09-30
Ches Energy,COM,165167107,262,36500,SH,,Other,0,0,36500,01,2000-09-30
CNET Networks Inc,COM,12613R104,1828,75048,SH,,Other,75048,0,0,02,2000-09-30
Commerce One,COM,200693109,4211,53644,SH,,Other,53644,0,0,02,2000-09-30
Completel Europe NV COM N21590109 91,,,,12800,SH,,Other,0,0,12800,03,2000-09-30
Consolidated Stores,COM,210149100,1040,77000,SH,,Other,0,0,77000,03,2000-09-30
Covad Com Group,COM,222814204,535,40000,SH,,Other,40000,0,0,02,2000-09-30
Covance Inc,COM,222816100,614,75000,SH,,Other,0,0,75000,03,2000-09-30
Dan River CL A,COM,235774106,122,28235,SH,,Other,0,0,28235,01,2000-09-30
Delphi Finl Group,COM,247131105,851,21000,SH,,Other,0,0,21000,03,2000-09-30
Dentsply Int'l Inc,COM,249030107,1066,30500,SH,,Other,0,0,30500,03,2000-09-30
DEVRY Inc Del,COM,251893103,13133,349054,SH,,Sole,349054,0,0,,2000-09-30
Digital Island,COM,25385N101,1513,80685,SH,,Other,80685,0,0,02,2000-09-30
DUKE-Weeks Rlty,COM,264411505,3004,124500,SH,,Other,0,0,124500,04,2000-09-30
E.Piphany Inc,COM,26881V100,955,12396,SH,,Other,12396,0,0,02,2000-09-30
Efficient Netw Inc.,COM,282056100,1128,30242,SH,,Other,30242,0,0,02,2000-09-30
Epoch Pharmaceuticals,COM,294273107,405,42045,SH,,Other,42045,0,0,02,2000-09-30
EQTY Office PPTYS,REIT,294741103,4008,129021,SH,,Other,0,0,129021,04,2000-09-30
EQTY Office PPTYS BEN,INT,29476L107,1488,31000,SH,,Other,0,0,31000,04,2000-09-30
Esco Technologies Inc.,COM,269315104,193,11000,SH,,Sole,11000,0,0,,2000-09-30
Exodus Com,COM,302088109,2469,50000,SH,,Other,50000,0,0,02,2000-09-30
Family DLR Stores,COM,307000109,1099,57100,SH,,Other,0,0,57100,03,2000-09-30
Foundry Networks,COM,35063R100,2717,40583,SH,,Other,40583,0,0,02,2000-09-30
Fed Rlty Invt TR,BEN,313747206,1274,66600,SH,,Other,0,0,66600,04,2000-09-30
G & K SVCS CL A,COM,361268105,1050,37400,SH,,Other,0,0,37400,03,2000-09-30
Gen Growth PPTYS,COM,370021107,1954,60700,SH,,Other,0,0,60700,04,2000-09-30
Genzyme Corp,COM,372917104,307,4500,SH,,Sole,4500,0,0,,2000-09-30
Cenzyme Corp Tissue COM 372917401 46,,,,11180,SH,,Sole,11180,0,0,,2000-09-30
Great Lakes Chem Corp,COM,390568103,410,14000,SH,,Other,0,0,14000,03,2000-09-30
Grey Wolf Inc COM 397888108 115 20000 SH,OTHER,,,,,,,0,0,20000,01,2000-09-30
Haemonetics Corp MA,COM,405024100,485,19000,SH,,Other,0,0,19000,03,2000-09-30
IDEXX Labs Inc,COM,45168D104,214,8000,SH,,Other,0,0,8000,03,2000-09-30
IL Superconductor COM 452284102 51,,,,16784,SH,,Other,16784,0,0,02,2000-09-30
Inktomi Corp,COM,457277101,2280,20000,SH,,Other,20000,0,0,02,2000-09-30
Intermune Pharm,Inc.COM,45885B100,2318,42730,SH,,Other,42730,0,0,02,2000-09-30
Interwoven Inc,COM,46114T102,2765,24452,SH,,Other,24452,0,0,02,2000-09-30
Kana Comm Inc COM 483600102 569 25570 SH,OTHER,,,,,,,25570,0,0,02,2000-09-30
Keane Inc,COM,486665102,226,13000,SH,,Other,0,0,13000,03,2000-09-30
Key Energy SVCS Inc,COM,492914106,139,14185,SH,,Other,0,0,14185,01,2000-09-30
Kilroy Rlty Corp,COM,49427F108,1241,46500,SH,,Other,0,0,46500,04,2000-09-30
Kimco Rlty Corp,COM,49446R109,2269,53700,SH,,Other,0,0,53700,04,2000-09-30
Lab Corp Amer Hldgs,,50540R201,227,1897,SH,,Other,0,0,1897,01,2000-09-30
Liberty PPTY TR,BEN,531172104,3245,118000,SH,,Other,0,0,118000,04,2000-09-30
Little Switz Inc COM 537528101 13,,,,16000,SH,,Sole,16000,0,0,,2000-09-30
Maxim Pharm Inc,COM,57772M107,213,3499,SH,,Other,3499,0,0,02,2000-09-30
MGIC Invt Corp Wis,COM,552848103,611,10000,SH,,Other,0,0,10000,03,2000-09-30
Microcell Telec CL B,COM,59501T304,456,15690,SH,,Other,0,0,15690,01,2000-09-30
Minerals Tech,COM,603158106,598,13000,SH,,Other,0,0,13000,03,2000-09-30
Modis Prof SVCS,COM,607830106,274,52800,SH,,Other,0,0,52800,03,2000-09-30
Morrison MGMT SPEC,COM,618459101,683,23100,SH,,Other,0,0,23100,03,2000-09-30
Nanophase Technolog,COM,630079101,3578,265000,SH,,Other,265000,0,0,02,2000-09-30
Nextera Enterpr A,COM,65332E101,1373,372456,SH,,Sole,372456,0,0,,2000-09-30
Nova Corp,COM,669784100,526,30700,SH,,Other,0,0,30700,03,2000-09-30
Old Republic Int'l Corp,COM,680223104,890,37000,SH,,Other,0,0,37000,03,2000-09-30
Omnicare Inc,COM,681904108,113,7000,SH,,Sole,7000,0,0,,2000-09-30
Paxar Corp,COM,704227107,447,50000,SH,,Other,0,0,50000,03,2000-09-30
Phone.com Inc,COM,71920Q100,1523,13403,SH,,Other,13403,0,0,02,2000-09-30
Pioneer Std Electr,COM,723877106,271,20000,SH,,Other,0,0,20000,03,2000-09-30
PMC Sierra,COM,69344F106,2673,12420,SH,,Other,12420,0,0,02,2000-09-30
Powertel Inc,COM,73936C109,301,3955,SH,,Other,0,0,3955,01,2000-09-30
Prologies BEN 743410102 3066 129100 SH,Other,,,03,,,,0,0,129100,04,2000-09-30
Prologies,BEN,743410102,380,16000,SH,,Sole,16000,0,0,,2000-09-30
Radiance Medical SY,COM,750241101,302,26000,SH,,Sole,26000,0,0,,2000-09-30
Reckson Assocs Rlty,COM,75621K106,1502,58900,SH,,Other,0,0,58900,04,2000-09-30
Redback Networks,COM,757209101,2886,17603,SH,,Other,17603,0,0,02,2000-09-30
Regal Beloit Corp,COM,758750103,478,28200,SH,,Other,0,0,28200,03,2000-09-30
Regency Rlty Corp,COM,758939102,220,9600,SH,,Sole,9600,0,0,,2000-09-30
Renal Care Group,COM,759930100,354,19000,SH,,Other,0,0,19000,03,2000-09-30
Republic SVCS,COM,760759100,1024,78000,SH,,Other,0,0,78000,03,2000-09-30
RSA Sec Inc,COM,749719100,554,12838,SH,,Other,12838,0,0,02,2000-09-30
Sec Cap Group B COM 81413P204 2416 127600 SH,Other,,,03,,,,0,0,127600,04,2000-09-30
Security Cap Group B,COM,81413P204,133,7000,SH,,Sole,7000,0,0,,2000-09-30
Sigma-Aldrich,COM,826552101,561,17000,SH,,Other,0,0,17000,03,2000-09-30
Skyepharma Spons,ADR,830808101,442,35696,SH,,Other,35696,0,0,02,2000-09-30
Speizman INDS Inc COM 847805108 54,,,,24000,SH,,Sole,24000,0,0,,2000-09-30
Spieker PPTYS Inc,COM,848497103,2331,40500,SH,,Other,0,0,40500,04,2000-09-30
Sun Communities,COM,866674104,3061,96800,SH,,Other,0,0,96800,04,2000-09-30
Sungard Data Sys,COM,867363103,1498,35000,SH,,Other,0,0,35000,03,2000-09-30
Sybron Int'l Group,COM,87114F106,984,41000,SH,,Other,0,0,41000,03,2000-09-30
Thermo Fibergen Inc,COM,88355U109,234,19300,SH,,Sole,19300,0,0,,2000-09-30
Thermo Fibergen Inc RTS 88355U117 5,,,,19300,SH,,Sole,19300,0,0,,2000-09-30
Versus Tech Inc COM 925313108 19,,,,60000,SH,,Sole,60000,0,0,,2000-09-30
Vignette Corp,COM,926734104,1297,43428,SH,,Other,43428,0,0,02,2000-09-30
Vitria Tech Inc,COM,92849Q104,1324,28393,SH,,Other,28393,0,0,02,2000-09-30
Wausau-Mosinee,COM,943315101,140,18000,SH,,Other,0,0,18000,03,2000-09-30
WEBMD Corp,COM,94769M105,534,35000,SH,,Other,35000,0,0,02,2000-09-30
Webmethods Inc,COM,94768C108,1073,9316,SH,,Other,9316,0,0,02,2000-09-30
"Active Software, Inc.",COM,00504E100,1373,17679,SH,,Other,17679,0,0,02,2000-07-31
Axicom Corp,COM,005125109,436,16000,SH,,Other,0,0,16000,03,2000-07-31
Adelphi Com CL A,COM,006848105,234,5000,SH,,Other,0,0,5000,03,2000-07-31
Agile Software Corp,COM,00846X105,476,6731,SH,,Other,6731,0,0,02,2000-07-31
AMB PPTY Corp,COM,00163T109,2110,92500,SH,,Other,0,0,92500,04,2000-07-31
Applied Micro Cir,COM,03822W109,2963,30000,SH,,Other,30000,0,0,02,2000-07-31
Aptar Group Inc,COM,038336103,886,32800,SH,,Other,0,0,32800,03,2000-07-31
Archstone CMNTYS BEN 039581103 3392 161061 SH Sole,,,,,,,Other,15061,0,146000,04,2000-07-31
Argosy Gaming Co.,COM,040228108,173,11950,SH,,Other,0,0,11950,01,2000-07-31
"Ariba, Inc",COM,04033V104,7802,79572,SH,,Other,79572,0,0,02,2000-07-31
Arrow Electronic,COM,042735100,558,18000,SH,,Other,0,0,18000,03,2000-07-31
Avalonbay CMTYS,COM,053484101,3252,77900,SH,,Other,0,0,77900,04,2000-07-31
Avanex Corp,COM,05348W109,1288,13483,SH,,Other,13483,0,0,02,2000-07-31
BEA Sys Inc.,COM,073325102,1483,30000,SH,,Other,30000,0,0,02,2000-07-31
Bell & Howell,COM,077852101,388,16000,SH,,Other,0,0,16000,03,2000-07-31
Block H & R,COM,093671105,502,15500,SH,,Other,0,0,15500,03,2000-07-31
Brady Corp CL A,COM,104674106,478,14700,SH,,Other,0,0,14700,03,2000-07-31
Broadbase Software,COM,11130R100,609,19872,SH,,Other,19872,0,0,02,2000-07-31
Broadcom Software,COM,111320107,2134,9746,SH,,Other,9746,0,0,02,2000-07-31
Brocade Comm Sys,COM,111621108,7767,42332,SH,,Other,42332,0,0,02,2000-07-31
Boston PPTYS Inc.,COM,101121101,2310,59800,SH,,Other,0,0,59800,04,2000-07-31
C-Cube Microsys,COM,12501N108,361,18377,SH,,Other,18377,0,0,02,2000-07-31
CacheFlow Inc.,COM,126946102,1385,22500,SH,,Other,22500,0,0,02,2000-07-31
Caliper Tech,COM,130876105,790,17165,SH,,Other,17165,0,0,02,2000-07-31
Cambrex Corp,COM,132011107,990,22000,SH,,Other,0,0,22000,02,2000-07-31
Carramerica Rlty.,COM,144418100,199,7500,SH,,Sole,7500,0,0,,2000-07-31
Casella Waste Sys,COM,147448104,645,60000,SH,,Other,0,0,60000,03,2000-07-31
Caseys Gen Stores,COM,147528103,830,80000,SH,,Other,0,0,80000,03,2000-07-31
Checkfree Hldgs,COM,162816102,2039,39548,SH,,Other,39548,0,0,02,2000-07-31
Checkpoint Systems COM 162825103 75,,,,10000,SH,,Sole,10000,0,0,,2000-07-31
Ches Energy,COM,165167107,546,70500,SH,,Other,0,0,70500,01,2000-07-31
Clearnet Com CL A,COM,184902104,273,9820,SH,,Other,0,0,9820,01,2000-07-31
CNET Networks Inc.,COM,12613R104,200,8154,SH,,Other,8154,0,0,02,2000-07-31
Commerce One,COM,200693109,1816,40000,SH,,Other,40000,0,0,02,2000-07-31
Completel Europe NV,COM,N21590109,154,12800,SH,,Other,0,0,12800,03,2000-07-31
Consolidated Stores,COM,210149100,924,77000,SH,,Other,0,0,77000,03,2000-07-31
Covad Com Group,COM,222814204,726,45000,SH,,Other,45000,0,0,02,2000-07-31
Covance Inc.,COM,222816100,661,75000,SH,,Other,0,0,75000,03,2000-07-31
Dan River CL A,COM,235774106,134,28235,SH,,Other,0,0,28235,01,2000-07-31
Delphi Finl Group,COM,247131105,713,21000,SH,,Other,0,0,21000,03,2000-07-31
Dentsply Int'l Inc,COM,249030107,1017,33000,SH,,Other,0,0,33000,03,2000-07-31
DEVRY Inc. Del,COM,251893103,9228,349054,SH,,Sole,349054,0,0,,2000-07-31
Digital Island,COM,25385N101,3240,66637,SH,,Other,66637,0,0,02,2000-07-31
Ditech Com Corp,COM,25500M103,391,4140,SH,,Other,4140,0,0,02,2000-07-31
DUKE - Weeks Rlty,COM,264411505,2971,132800,SH,,Other,0,0,132800,04,2000-07-31
E.Piphany Inc,COM,26881V100,1329,12396,SH,,Other,12396,0,0,02,2000-07-31
Echostar Com Corp,PFD,278762307,1093,2040,SH,,Other,0,0,2040,01,2000-07-31
Epoch Pharmaceuticals,COM,294273107,373,42045,SH,,Other,42045,0,0,02,2000-07-31
EQTY Office PPTRYS,COM,294741103,3675,133321,SH,,Other,0,0,133321,04,2000-07-31
Esco Electrocics TR,COM,269030201,187,11000,SH,,Sole,11000,0,0,,2000-07-31
Exodus Com,COM,302088109,2764,60000,SH,,Other,60000,0,0,02,2000-07-31
Family DLR Stores,COM,307000109,783,40000,SH,,Other,0,0,40000,03,2000-07-31
Foundry Networks,COM,35063R100,1040,9416,SH,,Other,9416,0,0,02,2000-07-31
Fed Rlty. Invt. TR,BEN,313747206,1300,65000,SH,,Other,0,0,65000,04,2000-07-31
Fusion Med Techn,COM,361128101,429,26900,SH,,Other,26900,0,0,02,2000-07-31
G & K SVCS CL A,COM,361268105,937,37400,SH,,Other,0,0,37400,03,2000-07-31
Gen Growth PPTYS,COM,370021107,1518,47800,SH,,Other,0,0,47800,04,2000-07-31
Genzyme Corp,COM,372917104,267,4500,SH,,Sole,4500,0,0,,2000-07-31
Cenzyme Corp Tissue COM 372917401 59,,,,11180,SH,,Sole,11180,0,0,,2000-07-31
Great Lakes Chem,COM,390568103,441,14000,SH,,Other,0,0,14000,03,2000-07-31
Gulf Canada Resource,COM,40218L305,4813,1000000,SH,,Sole,1000000,0,0,,2000-07-31
Haemonetics Corp MA,COM,405024100,399,19000,SH,,Other,0,0,19000,03,2000-07-31
Healtheon Corp,COM,422209106,518,35000,SH,,Other,35000,0,0,02,2000-07-31
IL Superconductor COM 452284102 80,,,,16784,SH,,Other,16784,0,0,02,2000-07-31
Inktomi Copr,COM,457277101,2365,20000,SH,,Other,20000,0,0,02,2000-07-31
Interact Comm,COM,45839Y107,337,28570,SH,,Other,28570,0,0,02,2000-07-31
Internet Pictures,COM,46059S101,164,10820,SH,,Other,10820,0,0,02,2000-07-31
Interwoven Inc.,COM,46114T102,6385,58056,SH,,Other,58056,0,0,02,2000-07-31
Kforce Com Inc.,COM,493732101,291,42000,SH,,Other,0,0,42000,03,2000-07-31
Kilroy Rlty Corp,COM,49427F108,2062,79500,SH,,Other,0,0,79500,04,2000-07-31
Kimco Rlty Corp,COM,49446R109,2276,55500,SH,,Other,0,0,55500,04,2000-07-31
Lab Corp Amer Hldgs,PFD,50540R201,403,2875,SH,,Other,0,0,2875,01,2000-07-31
Liberty PPTY TR,BEN,531172104,3190,123000,SH,,Other,0,0,123000,04,2000-07-31
Little Switz Inc COM 537528101 7,,,,16000,SH,,Sole,16000,0,0,,2000-07-31
MGIC Invt Corp Wis,COM,552848103,455,10000,SH,,Other,0,0,10000,03,2000-07-31
Microcel Telec CL B,COM,59501T304,550,15235,SH,,Other,0,0,15235,01,2000-07-31
Minerals Tech,COM,603158106,598,13000,SH,,Other,0,0,13000,03,2000-07-31
Modis Prof SVCS,COM,607830106,469,52800,SH,,Other,0,0,52800,03,2000-07-31
Morrison MGMT SPEC,COM,618459101,651,23100,SH,,Other,0,0,23100,03,2000-07-31
"Nabors Ind, Inc",COM,629568106,291,6999,SH,,Other,0,0,6999,01,2000-07-31
Nanophase Technolog,COM,630079101,3559,341000,SH,,Other,341000,0,0,02,2000-07-31
Netzero Inc,COM,64122R109,1342,257143,SH,,Other,257143,0,0,02,2000-07-31
Nextera Enterpr A,COM,65332E101,1781,372456,SH,,Sole,372456,0,0,,2000-07-31
Nova Corp,COM,669784100,726,26000,SH,,Other,0,0,26000,03,2000-07-31
Old Rep Intl Corp,COM,680223104,611,37000,SH,,Other,0,0,37000,03,2000-07-31
Onyx Software,COM,683402101,2368,79754,SH,,Other,79754,0,0,02,2000-07-31
Paxar Corp,COM,704227107,597,50000,SH,,Other,0,0,50000,03,2000-07-31
Phone.com Inc.,COM,71920Q100,1524,23403,SH,,Other,23403,0,0,02,2000-07-31
Pioneer Std Electr,COM,723877106,295,20000,SH,,Other,0,0,20000,03,2000-07-31
PMC Sierra,COM,69344F106,3198,18000,SH,,Other,18000,0,0,02,2000-07-31
Powertel Inc,COM,73936C109,312,4395,SH,,Other,0,0,4395,01,2000-07-31
Prologies BEN 743410102 4004 187900 SH,Other,,,03,,,,0,0,187900,04,2000-07-31
Prologies,BEN,743410102,341,16000,SH,,Sole,16000,0,0,,2000-07-31
Radiance Medical SY,COM,750241101,221,26000,SH,,Sole,26000,0,0,,2000-07-31
Reckson Assocs Rlty,COM,75621K106,1629,68600,SH,,Other,0,0,68600,04,2000-07-31
Redback Networks,COM,757209101,1780,10000,SH,,Other,10000,0,0,02,2000-07-31
Regal Beloit Corp,COM,758750103,295,18500,SH,,Other,0,0,18500,03,2000-07-31
Regency Rlty Corp,COM,758939102,228,9600,SH,,Sole,9600,0,0,,2000-07-31
Renal Care Group,COM,759930100,230,9400,SH,,Other,0,0,9400,03,2000-07-31
Republic SVCS,COM,760759100,1248,78000,SH,,Other,0,0,78000,03,2000-07-31
RSA Sec Inc,COM,749719100,889,12838,SH,,Other,12838,0,0,02,2000-07-31
Sec Cap Group B COM 81413P204 2060 121200 SH,Other,,,03,,,,0,0,121200,04,2000-07-31
Security Cap Group B,COM,81413P204,119,7000,SH,,Sole,7000,0,0,,2000-07-31
Sigma - Aldrich,COM,826552101,497,17000,SH,,Other,0,0,17000,03,2000-07-31
Skyepharma PLC,ADR,830808101,482,35696,SH,,Other,35696,0,0,02,2000-07-31
Speizman INDS Inc COM 847805108 77,,,,24000,SH,,Sole,24000,0,0,,2000-07-31
Spieker PPTYS Inc,COM,848497103,2155,45600,SH,,Other,0,0,45600,04,2000-07-31
Stamps Com Inc,COM,852857101,388,53015,SH,,Other,53015,0,0,02,2000-07-31
Sun Communities,COM,866674104,3110,93000,SH,,Other,0,0,93000,04,2000-07-31
Sungard Data Sys,COM,867363103,1085,35000,SH,,Other,0,0,35000,03,2000-07-31
Sybron Int'l Group,COM,87114F106,693,35000,SH,,Other,0,0,35000,03,2000-07-31
Thermo Fibergen Inc,COM,88355U109,236,19300,SH,,Sole,19300,0,0,,2000-07-31
Thermo Fibergen Inc RTS 88355U107 12,,,,19300,SH,,Sole,19300,0,0,,2000-07-31
Urban Shopp CTRS,COM,917060105,1674,49700,SH,,Other,0,0,49700,04,2000-07-31
US Internetworking,COM,917311805,383,18756,SH,,Sole,18756,0,0,,2000-07-31
VA Linux Sys,COM,91819B105,2255,52442,SH,,Other,52442,0,0,02,2000-07-31
Versus Tech Inc COM 952313108 21,,,,60000,SH,,Sole,60000,0,0,,2000-07-31
Vigennette Corp,COM,926734104,1070,20571,SH,,Other,20571,0,0,02,2000-07-31
Vulcan Materials,COM,929160109,327,7656,SH,,Sole,7656,0,0,,2000-07-31
Wausau-Mosinee,COM,943315101,154,18000,SH,,Other,0,0,18000,03,2000-07-31
Wireless Facs Inc,COM,9765A103,257,5037,SH,,Other,5037,0,0,02,2000-07-31
"Active Software, Inc.",COM,00504E100,1373,17679,SH,,Other,17679,0,0,02,2000-03-31
Axicom Corp,COM,005125109,436,16000,SH,,Other,0,0,16000,03,2000-03-31
Adelphi Com CL A,COM,006848105,234,5000,SH,,Other,0,0,5000,03,2000-03-31
Agile Software Corp,COM,00846X105,476,6731,SH,,Other,6731,0,0,02,2000-03-31
AMB PPTY Corp,COM,00163T109,2110,92500,SH,,Other,0,0,92500,04,2000-03-31
Applied Micro Cir,COM,03822W109,2963,30000,SH,,Other,30000,0,0,02,2000-03-31
Aptar Group Inc,COM,038336103,886,32800,SH,,Other,0,0,32800,03,2000-03-31
Archstone CMNTYS BEN 039581103 3392 161061 SH Sole,,,,,,,Other,15061,0,146000,04,2000-03-31
Argosy Gaming Co.,COM,040228108,173,11950,SH,,Other,0,0,11950,01,2000-03-31
"Ariba, Inc",COM,04033V104,7802,79572,SH,,Other,79572,0,0,02,2000-03-31
Arrow Electronic,COM,042735100,558,18000,SH,,Other,0,0,18000,03,2000-03-31
Avalonbay CMTYS,COM,053484101,3252,77900,SH,,Other,0,0,77900,04,2000-03-31
Avanex Corp,COM,05348W109,1288,13483,SH,,Other,13483,0,0,02,2000-03-31
BEA Sys Inc.,COM,073325102,1483,30000,SH,,Other,30000,0,0,02,2000-03-31
Bell & Howell,COM,077852101,388,16000,SH,,Other,0,0,16000,03,2000-03-31
Block H & R,COM,093671105,502,15500,SH,,Other,0,0,15500,03,2000-03-31
Brady Corp CL A,COM,104674106,478,14700,SH,,Other,0,0,14700,03,2000-03-31
Broadbase Software,COM,11130R100,609,19872,SH,,Other,19872,0,0,02,2000-03-31
Broadcom Software,COM,111320107,2134,9746,SH,,Other,9746,0,0,02,2000-03-31
Brocade Comm Sys,COM,111621108,7767,42332,SH,,Other,42332,0,0,02,2000-03-31
Boston PPTYS Inc.,COM,101121101,2310,59800,SH,,Other,0,0,59800,04,2000-03-31
C-Cube Microsys,COM,12501N108,361,18377,SH,,Other,18377,0,0,02,2000-03-31
CacheFlow Inc.,COM,126946102,1385,22500,SH,,Other,22500,0,0,02,2000-03-31
Caliper Tech,COM,130876105,790,17165,SH,,Other,17165,0,0,02,2000-03-31
Cambrex Corp,COM,132011107,990,22000,SH,,Other,0,0,22000,02,2000-03-31
Carramerica Rlty.,COM,144418100,199,7500,SH,,Sole,7500,0,0,,2000-03-31
Casella Waste Sys,COM,147448104,645,60000,SH,,Other,0,0,60000,03,2000-03-31
Caseys Gen Stores,COM,147528103,830,80000,SH,,Other,0,0,80000,03,2000-03-31
Checkfree Hldgs,COM,162816102,2039,39548,SH,,Other,39548,0,0,02,2000-03-31
Checkpoint Systems COM 162825103 75,,,,10000,SH,,Sole,10000,0,0,,2000-03-31
Ches Energy,COM,165167107,546,70500,SH,,Other,0,0,70500,01,2000-03-31
Clearnet Com CL A,COM,184902104,273,9820,SH,,Other,0,0,9820,01,2000-03-31
CNET Networks Inc.,COM,12613R104,200,8154,SH,,Other,8154,0,0,02,2000-03-31
Commerce One,COM,200693109,1816,40000,SH,,Other,40000,0,0,02,2000-03-31
Completel Europe NV,COM,N21590109,154,12800,SH,,Other,0,0,12800,03,2000-03-31
Consolidated Stores,COM,210149100,924,77000,SH,,Other,0,0,77000,03,2000-03-31
Covad Com Group,COM,222814204,726,45000,SH,,Other,45000,0,0,02,2000-03-31
Covance Inc.,COM,222816100,661,75000,SH,,Other,0,0,75000,03,2000-03-31
Dan River CL A,COM,235774106,134,28235,SH,,Other,0,0,28235,01,2000-03-31
Delphi Finl Group,COM,247131105,713,21000,SH,,Other,0,0,21000,03,2000-03-31
Dentsply Int'l Inc,COM,249030107,1017,33000,SH,,Other,0,0,33000,03,2000-03-31
DEVRY Inc. Del,COM,251893103,9228,349054,SH,,Sole,349054,0,0,,2000-03-31
Digital Island,COM,25385N101,3240,66637,SH,,Other,66637,0,0,02,2000-03-31
Ditech Com Corp,COM,25500M103,391,4140,SH,,Other,4140,0,0,02,2000-03-31
DUKE - Weeks Rlty,COM,264411505,2971,132800,SH,,Other,0,0,132800,04,2000-03-31
E.Piphany Inc,COM,26881V100,1329,12396,SH,,Other,12396,0,0,02,2000-03-31
Echostar Com Corp,PFD,278762307,1093,2040,SH,,Other,0,0,2040,01,2000-03-31
Epoch Pharmaceuticals,COM,294273107,373,42045,SH,,Other,42045,0,0,02,2000-03-31
EQTY Office PPTRYS,COM,294741103,3675,133321,SH,,Other,0,0,133321,04,2000-03-31
Esco Electrocics TR,COM,269030201,187,11000,SH,,Sole,11000,0,0,,2000-03-31
Exodus Com,COM,302088109,2764,60000,SH,,Other,60000,0,0,02,2000-03-31
